"user_id","payment_month","payment_date","revenue_amount_usd","monthly_mrr","previous_mrr","expansion_mrr","contraction_mrr","is_new_user","is_churned"
TWDA+aUZ8OPMHOtz5cPPXA==,2022-04-01 00:00:00.000 +0200,2022-04-06,14.28,62.58,0,0,0,1,0
V7J42heW8l19wiBJ8UpRyw==,2022-04-01 00:00:00.000 +0200,2022-04-11,14.7,36.84,49.80,0,12.96,0,0
Veep00i4vvZbTAVD6GMoiA==,2022-04-01 00:00:00.000 +0200,2022-04-09,18.21,48.33,12.72,35.61,0,0,1
W6fRYNhsTNHQkvkoFEUaVQ==,2022-04-01 00:00:00.000 +0200,2022-04-17,23.13,57.72,48.33,9.39,0,0,0
WAdVK2sJHdBL0bCFyVa0ww==,2022-04-01 00:00:00.000 +0200,2022-04-23,24.09,24.09,0,0,0,1,1
Wua5DlzLb2yNeSrcG9Xi3g==,2022-04-01 00:00:00.000 +0200,2022-04-06,12.45,59.85,0,0,0,1,0
xiXTXOEbWU+HnGOUmgc9/w==,2022-04-01 00:00:00.000 +0200,2022-04-10,19.44,99.84,24.18,75.66,0,0,0
xnLJlU804PSS9tXKmm7gZQ==,2022-04-01 00:00:00.000 +0200,2022-04-06,12.57,26.61,0,0,0,1,0
Y/nf8iBu/UCaNAuIRRjVwA==,2022-04-01 00:00:00.000 +0200,2022-04-04,20.43,20.43,24.27,0,3.84,0,0
ZmjMhgyYl6o8iFq964FEWg==,2022-04-01 00:00:00.000 +0200,2022-04-02,27.57,56.70,54.60,2.10,0,0,0
zSepnWFgLH0tQb1s4mxKZQ==,2022-04-01 00:00:00.000 +0200,2022-04-04,31.89,71.52,23.01,48.51,0,0,0
ZxxZ87IcpgSh4lQ/VSIjnA==,2022-04-01 00:00:00.000 +0200,2022-04-19,18.39,42.18,0,0,0,1,0
"06RPvlsFPCmM9ag+iSM/Ag==",2022-05-01 00:00:00.000 +0200,2022-05-22,14.43,28.32,12.03,16.29,0,0,0
"0A5RkQrm+GBgG7KSFk/xhw==",2022-05-01 00:00:00.000 +0200,2022-05-30,13.8,13.8,0,0,0,1,0
"2FYEYdoJMUOtbJ6TruruWA==",2022-05-01 00:00:00.000 +0200,2022-05-12,30.33,30.33,56.85,0,26.52,0,0
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-05-01 00:00:00.000 +0200,2022-05-02,15.33,72.06,54.96,17.10,0,0,0
"3iITAz/ADjFv3PDTgTjxSg==",2022-05-01 00:00:00.000 +0200,2022-05-30,15.69,15.69,81.42,0,65.73,0,0
"3rCdNEPkh3vwmYB0BVadEw==",2022-05-01 00:00:00.000 +0200,2022-05-27,22.86,22.86,0,0,0,1,1
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-05-01 00:00:00.000 +0200,2022-05-31,12.36,12.36,59.67,0,47.31,0,0
"4b7l8C489HEJirtoe7xtFg==",2022-05-01 00:00:00.000 +0200,2022-05-05,12.27,26.40,14.94,11.46,0,0,0
"4btLP2zvi8eBV0t08fdkKQ==",2022-05-01 00:00:00.000 +0200,2022-05-10,16.41,91.68,125.97,0,34.29,0,0
"4oH5e29koOH9zNYW8Kwcsg==",2022-05-01 00:00:00.000 +0200,2022-05-17,12.99,12.99,0,0,0,1,1
"6We7zBO7mVbNxGEl/xPKVg==",2022-05-01 00:00:00.000 +0200,2022-05-31,22.74,22.74,0,0,0,1,0
"72brUr/DKItStlTen5pHYg==",2022-05-01 00:00:00.000 +0200,2022-05-22,19.92,19.92,24.15,0,4.23,0,0
"75lEf3nSWLSf6GncqhR9gQ==",2022-05-01 00:00:00.000 +0200,2022-05-17,14.1,58.26,65.97,0,7.71,0,0
"787jk0VnxM8/sv/0TkvO6A==",2022-05-01 00:00:00.000 +0200,2022-05-03,15.0,36.75,53.49,0,16.74,0,0
"7EPlnA7OQ9MhMx+od6FA9g==",2022-05-01 00:00:00.000 +0200,2022-05-01,14.43,51.18,114.15,0,62.97,0,0
"7ew71UmoMb73L41PM/YL/w==",2022-05-01 00:00:00.000 +0200,2022-05-17,13.95,32.10,0,0,0,1,0
"7GE5h/3N3lcro3K9T3aujw==",2022-05-01 00:00:00.000 +0200,2022-05-03,17.52,118.95,58.20,60.75,0,0,0
"7SeM1pmnTTTXfhI+x3ldng==",2022-05-01 00:00:00.000 +0200,2022-05-08,31.98,62.61,105.96,0,43.35,0,1
"8TTRdxncZg7Nl0tvfwsZng==",2022-05-01 00:00:00.000 +0200,2022-05-30,14.25,14.25,0,0,0,1,1
"9IWUQ1iWPfYSSN2tWuVqMQ==",2022-05-01 00:00:00.000 +0200,2022-05-23,12.48,12.48,0,0,0,1,0
an5Xsrpir8vvhTb50gnppQ==,2022-05-01 00:00:00.000 +0200,2022-05-29,15.51,15.51,0,0,0,1,1
AN9at3LlvDamqXq8dvHD4w==,2022-05-01 00:00:00.000 +0200,2022-05-20,39.78,66.57,64.50,2.07,0,0,0
aQDvOXzsDAJWi3Y47ptRPg==,2022-05-01 00:00:00.000 +0200,2022-05-19,14.52,39.30,15.21,24.09,0,0,0
b3TBQFxyCxxypmPajF+jXw==,2022-05-01 00:00:00.000 +0200,2022-05-04,15.42,28.68,14.82,13.86,0,0,0
b6lW5fOrJiJUE7dwhEp9VQ==,2022-05-01 00:00:00.000 +0200,2022-05-03,43.05,94.11,0,0,0,1,0
B8zuTsAC2iJ98u2nlv/fUw==,2022-05-01 00:00:00.000 +0200,2022-05-04,12.3,39.96,0,0,0,1,1
Bcs3CbYx2EpbL9otxlEUmg==,2022-05-01 00:00:00.000 +0200,2022-05-29,30.72,30.72,89.22,0,58.50,0,0
BDvlXttM/hbupcLic+5ZWg==,2022-05-01 00:00:00.000 +0200,2022-05-17,12.93,12.93,0,0,0,1,0
BTD3ZjLKfkT6ZRBT9zRwtg==,2022-05-01 00:00:00.000 +0200,2022-05-26,18.75,65.73,0,0,0,1,0
crKNTIblJ0113SKEtSJQHw==,2022-05-01 00:00:00.000 +0200,2022-05-10,15.96,93.99,0,0,0,1,0
Dbff3x5cRk6/tUY3WQdzFQ==,2022-05-01 00:00:00.000 +0200,2022-05-30,31.2,31.2,60.57,0,29.37,0,0
