"user_id","payment_date","payment_month","mrr","new_mrr","new_users","churned_users","churned_revenue"
ZeMBdi9hmR0vUv+lyZiypQ==,2022-03-29,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-03-29,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
XE2e8BsmBo72HxABlJmsRw==,2022-03-29,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
Bcs3CbYx2EpbL9otxlEUmg==,2022-03-30,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-03-30,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
"99X4aLWWjAIgmlXjrXQIgg==",2022-03-30,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
ZeMBdi9hmR0vUv+lyZiypQ==,2022-03-30,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
s27V1tbCAysovKSY1XcdWQ==,2022-03-30,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
ZmjMhgyYl6o8iFq964FEWg==,2022-03-31,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
b3TBQFxyCxxypmPajF+jXw==,2022-03-31,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
iFFApiXZ2wPdS666BLpKZw==,2022-03-31,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
V7J42heW8l19wiBJ8UpRyw==,2022-03-31,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
Ghk2iJmzSUW4qLsmJgwOcw==,2022-04-01,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"3iITAz/ADjFv3PDTgTjxSg==",2022-04-01,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"7SeM1pmnTTTXfhI+x3ldng==",2022-04-02,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
ZmjMhgyYl6o8iFq964FEWg==,2022-04-02,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
AN9at3LlvDamqXq8dvHD4w==,2022-04-02,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
SyWxmJ+Ha8K2C9UJt8blVA==,2022-04-02,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Dbff3x5cRk6/tUY3WQdzFQ==,2022-04-02,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
nPrRQwP3UZo2KBlM2mJ8fg==,2022-04-02,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
"3iITAz/ADjFv3PDTgTjxSg==",2022-04-03,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
HRBsRwGu5mkTvZBTNpA0tQ==,2022-04-03,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
s27V1tbCAysovKSY1XcdWQ==,2022-04-03,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
HxWcXHURvvtOJkrXAcDxQg==,2022-04-04,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
zSepnWFgLH0tQb1s4mxKZQ==,2022-04-04,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
Y/nf8iBu/UCaNAuIRRjVwA==,2022-04-04,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
hkNuy6dTFIFcsQQfT5YkwQ==,2022-04-04,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
K/6KHxREKTlFZXRfBNVNuQ==,2022-04-04,2022-04-01 00:00:00.000 +0200,3600.36,1749.51,41,6,157.32
